z,zrel,T
-455.7751576,0.6189170923076923,-21.559
-475.0008604,0.6028420899665552,-21.491
-494.2364632,0.5867588100334449,-21.412
-503.8493147,0.5787213087792642,-21.378
-513.472066,0.5706755301003343,-21.332
-523.0849175,0.5626380288461539,-21.291
-532.6977689,0.5546005276755852,-21.234
-542.3205203,0.5465547489130435,-21.189
-551.9333717,0.5385172477424749,-21.133
-561.5462231,0.5304797465719063,-21.077
-571.1689745,0.5224339678093646,-21.015
-580.7818259,0.514396466638796,-20.955
-590.3946773,0.5063589654682275,-20.886
-600.0075288,0.49832146421404677,-20.815
-609.6302801,0.490275685535117,-20.742
-619.2431316,0.48223818428093645,-20.661
-628.855983,0.4742006831103679,-20.579
-638.4787344,0.466154904347826,-20.49
-648.0915858,0.4581174031772576,-20.405
-657.7044372,0.4500799020066889,-20.309
-667.3271886,0.44203412324414715,-20.206
-676.94004,0.4339966220735786,-20.106
-686.5528914,0.42595912090301,-19.992
-696.1756428,0.41791334214046827,-19.882
-705.7884942,0.4098758409698997,-19.766
-715.4013457,0.40183833971571903,-19.639
-725.0141971,0.39380083854515047,-19.512
-734.6369485,0.3857550597826087,-19.373
-744.2497999,0.37771755861204015,-19.232
-753.8626513,0.3696800574414716,-19.084
-763.4854027,0.3616342786789297,-18.932
-773.0982541,0.35359677750836127,-18.765
-782.7111056,0.3455592762541806,-18.609
-787.5224812,0.3415363869565218,-18.529
-792.3338569,0.33751349757525084,-18.441
-797.1353327,0.3334988857023411,-18.357
-801.9467084,0.32947599632107016,-18.261
-806.758084,0.32545310702341135,-18.176
-811.5595598,0.3214384951505017,-18.078
-816.3709355,0.3174156057692308,-17.988
-821.1823112,0.31339271638795985,-17.896
-825.9837869,0.3093781045986622,-17.8
-830.7951626,0.3053552152173913,-17.697
-836.1807354,0.3008522279264214,-17.59
-840.408014,0.2973177140468227,-17.506
-845.2193897,0.2932948246655519,-17.396
-850.0208654,0.28928021287625416,-17.296
-854.8322411,0.28525732349498323,-17.178
-859.6436168,0.2812344341137124,-17.082
-864.4450925,0.2772198223244148,-16.965
-869.2564682,0.27319693294314384,-16.847
-874.0678439,0.2691740435618729,-16.736
-878.8693197,0.26515943168896317,-16.631
-883.6806953,0.26113654239130435,-16.525
-888.492071,0.2571136530100334,-16.39
-893.451946,0.2529666003344482,-16.277
-898.1049225,0.24907615175585285,-16.169
-902.9162981,0.24505326245819403,-16.038
-907.7177739,0.2410386505852843,-15.918
-912.5291496,0.23701576120401335,-15.793
-917.3405253,0.23299287182274253,-15.673
-922.142001,0.2289782600334448,-15.549
-926.9533767,0.22495537065217386,-15.432
-931.7647524,0.22093248127090304,-15.308
-936.5662281,0.2169178694816054,-15.174
-941.3776038,0.21289498010033447,-15.04
-946.1889795,0.20887209071906354,-14.897
-950.9904552,0.2048574789297658,-14.773
-955.8018309,0.20083458954849498,-14.632
-960.6132066,0.19681170016722405,-14.491
-965.4146823,0.19279708837792642,-14.359
-970.226058,0.1887741989966556,-14.22
-975.0275338,0.18475958712374585,-14.086
-976.958024,0.18314546488294314,-14.039
-978.8786143,0.18153962015050173,-13.996
-980.7992046,0.1799337754180601,-13.936
-982.7296948,0.17831965317725762,-13.872
-984.6502851,0.176713808444816,-13.822
-986.5708754,0.17510796371237458,-13.768
-988.4914657,0.17350211897993306,-13.71
-990.421956,0.17188799665551835,-13.646
-992.3425463,0.17028215192307694,-13.591
-994.2631366,0.16867630719063542,-13.533
-996.1837269,0.167070462458194,-13.484
-998.1142171,0.1654563402173913,-13.423
-1000.034807,0.16385049581939803,-13.365
-1001.955398,0.16224465050167225,-13.306
-1003.875988,0.16063880602006686,-13.256
-1005.806478,0.15902468394648828,-13.202
-1007.727069,0.1574188386287625,-13.136
-1009.647659,0.1558129941471572,-13.077
-1011.568249,0.15420714966555182,-13.015
-1013.498739,0.15259302759197324,-12.958
-1015.41933,0.15098718227424757,-12.907
-1017.33992,0.14938133779264218,-12.85
-1019.26051,0.1477754933110368,-12.783
-1021.191001,0.1461613704013378,-12.724
-1023.111591,0.14455552591973242,-12.673
-1025.032181,0.14294968143812703,-12.603
-1026.962671,0.14133555936454845,-12.549
-1028.883262,0.13972971404682266,-12.486
-1030.803852,0.13812386956521738,-12.432
-1032.724442,0.1365180250836121,-12.367
-1034.654932,0.13490390301003352,-12.311
-1036.575523,0.13329805769230774,-12.253
-1038.496113,0.13169221321070246,-12.19
-1040.416703,0.13008636872909696,-12.142
-1042.347194,0.1284722458193981,-12.101
-1044.267784,0.1268664013377927,-11.983
-1046.188374,0.1252605568561872,-11.92
-1048.108964,0.12365471237458192,-11.873
-1050.039455,0.12204058946488283,-11.82
-1051.960045,0.12043474498327755,-11.753
-1053.880635,0.11882890050167227,-11.703
-1055.801226,0.11722305518394649,-11.638
