z,zrel,lam1,lam2,lam3
997.7,0.6072047244094487,0.69846,0.17317,0.12836
997.792,0.6071685039370078,0.69605,0.18001,0.12395
997.883,0.6071326771653542,0.6999,0.18198,0.11811
997.975,0.6070964566929133,0.73045,0.16789,0.10166
998.067,0.6070602362204724,0.68775,0.18891,0.12334
998.158,0.6070244094488189,0.67886,0.19976,0.12138
1025.75,0.5961614173228347,0.62817,0.25865,0.11318
1025.842,0.5961251968503937,0.6748,0.22657,0.09863
1025.933,0.5960893700787402,0.74022,0.17884,0.08093
1026.025,0.5960531496062992,0.71463,0.19384,0.09153
1026.117,0.5960169291338583,0.66698,0.22767,0.10535
1026.208,0.5959811023622047,0.70372,0.21938,0.0769
1036.2,0.5920472440944882,0.67363,0.20622,0.12015
1036.292,0.5920110236220473,0.67852,0.18934,0.13213
1036.383,0.5919751968503937,0.70499,0.18604,0.10897
1036.475,0.5919389763779528,0.62539,0.25695,0.11766
1036.567,0.5919027559055119,0.72035,0.18489,0.09476
1036.658,0.5918669291338583,0.68256,0.18851,0.12894
1042.25,0.5896653543307087,0.70732,0.19044,0.10224
1042.342,0.5896291338582677,0.69196,0.21027,0.09777
1042.433,0.5895933070866142,0.6818,0.23118,0.08702
1042.525,0.5895570866141733,0.71504,0.19812,0.08684
1042.617,0.5895208661417324,0.69933,0.21304,0.08762
1042.708,0.5894850393700788,0.66752,0.22907,0.10341
1047.75,0.5875,0.67161,0.23302,0.09537
1047.842,0.587463779527559,0.62405,0.27993,0.09602
1047.933,0.5874279527559055,0.64518,0.24754,0.10728
1048.025,0.5873917322834645,0.705,0.20747,0.08752
1048.117,0.5873555118110236,0.67102,0.22077,0.10821
1048.208,0.58731968503937,0.69259,0.17457,0.13283
1069.75,0.5788385826771654,0.6889,0.2314,0.0797
1069.933,0.5787665354330709,0.6914,0.21415,0.09444
1070.025,0.5787303149606299,0.68872,0.20712,0.10416
1070.117,0.578694094488189,0.70786,0.19576,0.09638
1070.208,0.5786582677165354,0.71634,0.18569,0.09797
1097.8,0.5677952755905512,0.72688,0.17699,0.09612
1097.892,0.5677590551181102,0.68991,0.23154,0.07855
1097.983,0.5677232283464567,0.69936,0.21064,0.09
1098.075,0.5676870078740157,0.66259,0.24198,0.09543
1098.167,0.5676507874015748,0.66973,0.20836,0.1219
1098.258,0.5676149606299212,0.69477,0.22318,0.08205
1103.392,0.5655937007874016,0.68286,0.17879,0.13835
1103.483,0.5655578740157481,0.69122,0.23093,0.07785
1103.575,0.5655216535433071,0.72969,0.15856,0.11175
1103.667,0.5654854330708662,0.71226,0.1882,0.09954
1103.758,0.5654496062992126,0.7214,0.17384,0.10476
1114.85,0.5610826771653543,0.71828,0.19255,0.08917
1114.942,0.5610464566929134,0.73633,0.16127,0.1024
1115.033,0.5610106299212598,0.66883,0.22675,0.10442
1115.125,0.5609744094488189,0.70524,0.17973,0.11503
1115.217,0.5609381889763779,0.73722,0.17149,0.09129
1115.308,0.5609023622047244,0.68424,0.20665,0.1091
1124.75,0.5571850393700788,0.68054,0.22535,0.09411
1124.842,0.5571488188976377,0.67155,0.24093,0.08752
1124.933,0.5571129921259843,0.68902,0.21253,0.09845
1125.025,0.5570767716535432,0.69809,0.23167,0.07024
1125.117,0.5570405511811023,0.67937,0.2253,0.09533
1125.208,0.5570047244094487,0.74999,0.1825,0.06751
1136.3,0.5526377952755905,0.69069,0.19887,0.11044
1136.392,0.5526015748031496,0.68995,0.20947,0.10058
1136.483,0.552565748031496,0.74117,0.14954,0.10929
1136.575,0.5525295275590552,0.75448,0.14301,0.10251
1136.667,0.5524933070866143,0.67084,0.21517,0.11399
1136.758,0.5524574803149607,0.68588,0.20319,0.11094
1136.85,0.5524212598425198,0.69862,0.18739,0.11398
1136.942,0.5523850393700787,0.7107,0.16418,0.12512
1137.033,0.5523492125984253,0.70799,0.17394,0.11808
1137.125,0.5523129921259842,0.70126,0.2064,0.09233
1137.217,0.5522767716535433,0.59383,0.27402,0.13216
1137.308,0.5522409448818897,0.71593,0.16532,0.11875
1146.2,0.548740157480315,0.73841,0.17789,0.08371
1146.292,0.5487039370078741,0.74297,0.16228,0.09475
1146.383,0.5486681102362205,0.70622,0.20108,0.0927
1146.475,0.5486318897637796,0.72935,0.16729,0.10336
1146.567,0.5485956692913385,0.70581,0.19869,0.0955
1146.658,0.5485598425196851,0.68909,0.19735,0.11356
1158.025,0.5440846456692914,0.7094,0.20761,0.08299
1158.208,0.5440125984251969,0.73088,0.19711,0.07201
1185.25,0.5333661417322835,0.80474,0.13814,0.05713
1185.617,0.5332216535433071,0.7196,0.1647,0.1157
1211.742,0.522936220472441,0.73474,0.19274,0.07252
1212.017,0.5228279527559054,0.70644,0.2187,0.07486
1212.108,0.5227921259842521,0.71726,0.22604,0.0567
1218.433,0.520301968503937,0.72679,0.21684,0.05637
1218.525,0.5202657480314961,0.71597,0.17599,0.10804
1218.617,0.5202295275590552,0.6971,0.22243,0.08046
1224.392,0.517955905511811,0.7417,0.19049,0.06781
1224.483,0.5179200787401574,0.7673,0.16886,0.06384
1224.575,0.5178838582677165,0.73595,0.1899,0.07416
1228.7,0.516259842519685,0.71802,0.21892,0.06306
1228.883,0.5161877952755906,0.76732,0.17742,0.05525
1229.158,0.5160795275590552,0.73582,0.18397,0.08021
1234.75,0.5138779527559055,0.73399,0.1968,0.06921
1235.025,0.51376968503937,0.67645,0.23827,0.08528
1235.117,0.5137334645669291,0.73785,0.17822,0.08393
1235.208,0.5136976377952756,0.75908,0.18282,0.0581
1250.792,0.5075622047244095,0.71611,0.23137,0.05252
1250.883,0.5075263779527559,0.76956,0.15854,0.0719
1255.467,0.5057216535433071,0.73979,0.18875,0.07146
1261.883,0.5031956692913386,0.78185,0.15486,0.06329
1261.975,0.5031594488188977,0.75732,0.17496,0.06773
1262.067,0.5031232283464566,0.75573,0.17688,0.06739
1279.3,0.49633858267716535,0.71099,0.23115,0.05786
1279.392,0.49630236220472435,0.7464,0.20091,0.05269
1279.575,0.49623031496062986,0.73414,0.2099,0.05596
1279.667,0.49619409448818896,0.6872,0.24197,0.07083
1281.5,0.49547244094488185,0.73633,0.19626,0.06741
1292.5,0.4911417322834646,0.74676,0.20493,0.04831
1292.592,0.4911055118110236,0.74276,0.20162,0.05562
1292.683,0.4910696850393701,0.78819,0.16752,0.04429
1303.5,0.4868110236220472,0.75424,0.16983,0.07593
1314.5,0.48248031496062993,0.75422,0.19254,0.05324
1325.592,0.47811338582677165,0.73089,0.21504,0.05407
1325.683,0.47807755905511806,0.78384,0.17256,0.0436
1336.5,0.4738188976377953,0.77394,0.16655,0.05951
1336.592,0.47378267716535427,0.74005,0.16774,0.09221
1347.5,0.469488188976378,0.80548,0.13756,0.05695
1358.5,0.4651574803149606,0.66548,0.27542,0.0591
1358.683,0.46508543307086614,0.79341,0.15519,0.0514
1369.5,0.46082677165354335,0.73595,0.21117,0.05288
1380.5,0.456496062992126,0.77402,0.19496,0.03101
1391.5,0.4521653543307087,0.70906,0.26229,0.02865
1391.592,0.4521291338582677,0.81603,0.14716,0.03681
1402.5,0.4478346456692913,0.70162,0.25725,0.04113
1413.5,0.44350393700787405,0.80414,0.15359,0.04227
1417.992,0.44173543307086616,0.79194,0.18196,0.0261
1418.083,0.44169960629921257,0.86393,0.11037,0.0257
1418.175,0.44166338582677167,0.82797,0.14179,0.03024
1418.267,0.44162716535433066,0.82641,0.15179,0.0218
1418.45,0.4415551181102362,0.82429,0.15777,0.01794
1418.542,0.4415188976377953,0.87561,0.10227,0.02212
1418.633,0.4414830708661417,0.89301,0.08682,0.02017
1418.725,0.4414468503937008,0.84699,0.12619,0.02682
1418.817,0.4414106299212598,0.86174,0.1083,0.02996
1424.683,0.4391011811023622,0.82005,0.15197,0.02798
1435.5,0.4348425196850394,0.89845,0.08164,0.01991
1446.5,0.430511811023622,0.81581,0.16056,0.02363
1457.683,0.42610905511811026,0.89845,0.08731,0.01425
1468.5,0.42185039370078736,0.84906,0.13508,0.01586
1479.5,0.4175196850393701,0.88521,0.09897,0.01582
1490.5,0.4131889763779527,0.90783,0.07297,0.0192
1501.5,0.40885826771653544,0.92448,0.05665,0.01887
1501.592,0.40882204724409443,0.91607,0.06537,0.01856
1512.5,0.40452755905511806,0.91865,0.06511,0.01624
1523.5,0.4001968503937008,0.93223,0.05344,0.01434
1523.592,0.4001606299212598,0.93373,0.05139,0.01488
1534.5,0.3958661417322835,0.93916,0.04583,0.015
1534.592,0.3958299212598425,0.9339,0.04737,0.01873
1545.5,0.39153543307086613,0.94179,0.04139,0.01682
1556.5,0.38720472440944886,0.94062,0.04053,0.01885
1567.5,0.3828740157480315,0.93363,0.05003,0.01635
1567.592,0.3828377952755905,0.94795,0.03635,0.0157
1578.5,0.3785433070866142,0.94617,0.03537,0.01846
1589.5,0.37421259842519683,0.93837,0.04196,0.01967
1600.5,0.36988188976377956,0.93861,0.03987,0.02151
1611.5,0.3655511811023622,0.94627,0.03467,0.01906
1611.592,0.36551496062992117,0.95388,0.02592,0.02019
1611.683,0.3654791338582677,0.94671,0.03414,0.01915
1611.775,0.3654429133858267,0.92806,0.04596,0.02598
1611.867,0.3654066929133858,0.94654,0.03555,0.01791
1622.5,0.3612204724409449,0.94527,0.0343,0.02042
1633.5,0.3568897637795275,0.95125,0.02849,0.02026
1644.5,0.35255905511811025,0.96104,0.02233,0.01663
1655.5,0.34822834645669287,0.9514,0.03395,0.01465
1666.5,0.3438976377952756,0.95497,0.02765,0.01739
1666.683,0.3438255905511811,0.94901,0.02927,0.02172
1677.5,0.3395669291338582,0.95962,0.02484,0.01555
1677.592,0.3395307086614173,0.95288,0.03127,0.01586
1688.5,0.33523622047244095,0.94839,0.03829,0.01332
1688.592,0.33519999999999994,0.95445,0.03198,0.01357
1699.5,0.33090551181102357,0.94585,0.04114,0.01301
1699.683,0.3308334645669292,0.95465,0.03234,0.01301
1710.5,0.3265748031496063,0.95939,0.02652,0.01409
1721.5,0.322244094488189,0.93986,0.04994,0.0102
1732.5,0.31791338582677164,0.95381,0.0317,0.01448
1732.592,0.31787716535433064,0.95834,0.02672,0.01494
1743.5,0.3135826771653544,0.95556,0.0312,0.01324
1754.5,0.309251968503937,0.95668,0.02704,0.01629
1757.25,0.30816929133858273,0.96584,0.02163,0.01253
1757.342,0.3081330708661417,0.94672,0.03612,0.01716
1773.75,0.3016732283464567,0.96748,0.01937,0.01315
1786.4,0.2966929133858267,0.93349,0.04349,0.02301
1795.75,0.29301181102362206,0.94194,0.04358,0.01448
1801.342,0.2908102362204724,0.96726,0.02259,0.01016
1801.617,0.29070196850393704,0.94711,0.03762,0.01528
1802.35,0.2904133858267717,0.95165,0.03344,0.01491
1810.6,0.28716535433070867,0.93947,0.04402,0.01651
1817.75,0.2843503937007874,0.9525,0.03523,0.01227
1823.342,0.28214881889763777,0.9421,0.04172,0.01618
1823.433,0.2821129921259843,0.95085,0.03654,0.01261
1823.617,0.2820405511811024,0.96054,0.02992,0.00954
1828.75,0.28001968503937,0.94706,0.03827,0.01467
1834.342,0.2778181102362204,0.96312,0.02577,0.01111
1839.842,0.27565275590551175,0.9493,0.03873,0.01197
1845.25,0.2735236220472441,0.95888,0.02883,0.01228
1845.342,0.2734874015748031,0.95852,0.0302,0.01128
1845.433,0.27345157480314963,0.96097,0.0264,0.01263
1845.525,0.2734153543307086,0.93429,0.05174,0.01397
1845.617,0.27337913385826773,0.96453,0.0243,0.01118
1845.708,0.27334330708661414,0.9597,0.02915,0.01114
1867.25,0.26486220472440947,0.94284,0.04307,0.0141
1867.342,0.26482598425196846,0.94721,0.03748,0.01531
1867.433,0.264790157480315,0.96214,0.02376,0.01411
1867.525,0.264753937007874,0.96548,0.02302,0.01151
1867.617,0.2647177165354331,0.95941,0.03048,0.01011
1867.708,0.2646818897637795,0.97185,0.0174,0.01075
1889.25,0.2562007874015748,0.93894,0.04965,0.01141
1889.433,0.25612874015748033,0.89484,0.0867,0.01846
1889.617,0.2560562992125984,0.95297,0.03327,0.01376
1911.342,0.24750314960629916,0.93783,0.04945,0.01272
1911.708,0.24735905511811018,0.95832,0.02933,0.01235
1933.25,0.2388779527559055,0.9365,0.04931,0.0142
1933.708,0.23869763779527553,0.96141,0.02769,0.0109
1955.342,0.23018031496062985,0.96103,0.02657,0.01241
1955.433,0.23014448818897637,0.97031,0.01793,0.01176
1955.708,0.23003622047244088,0.96281,0.02426,0.01293
1977.342,0.2215188976377952,0.96612,0.02183,0.01205
1999.525,0.21278543307086606,0.91006,0.06814,0.0218
2131.25,0.16092519685039375,0.90851,0.0667,0.02479
2131.342,0.16088897637795274,0.94062,0.04172,0.01766
2131.433,0.16085314960629926,0.94812,0.02951,0.02238
2131.525,0.16081692913385826,0.94805,0.02892,0.02303
2131.617,0.16078070866141725,0.96041,0.02358,0.01602
2131.708,0.16074488188976377,0.96502,0.0209,0.01408
2147.75,0.15442913385826773,0.94304,0.03828,0.01869
2147.842,0.15439291338582672,0.92217,0.05338,0.02445
2147.933,0.15435708661417324,0.9271,0.04767,0.02522
2148.025,0.15432086614173224,0.94954,0.03091,0.01954
2148.117,0.15428464566929123,0.93909,0.03925,0.02167
2148.208,0.15424881889763775,0.94164,0.03257,0.02579
2175.25,0.14360236220472444,0.92069,0.06254,0.01677
2175.342,0.14356614173228344,0.93673,0.04454,0.01872
2175.433,0.14353031496062996,0.94784,0.03218,0.01999
2175.525,0.14349409448818895,0.9499,0.0358,0.0143
2175.617,0.14345787401574794,0.93904,0.04547,0.01549
2175.708,0.14342204724409446,0.93512,0.04521,0.01967
2202.75,0.13277559055118116,0.95818,0.0279,0.01393
2202.842,0.13273937007874015,0.93375,0.0498,0.01645
2202.933,0.13270354330708667,0.96741,0.02122,0.01137
2203.025,0.13266732283464566,0.97165,0.01574,0.0126
2203.117,0.13263110236220466,0.95178,0.03108,0.01714
2203.208,0.13259527559055118,0.91395,0.06987,0.01617
2208.342,0.1305740157480314,0.966,0.02115,0.01285
2208.433,0.13053818897637792,0.95997,0.02625,0.01377
2208.525,0.13050196850393703,0.95897,0.02593,0.0151
2208.617,0.13046574803149602,0.93499,0.04294,0.02207
2213.75,0.12844488188976377,0.8207,0.13268,0.04662
2213.842,0.12840866141732277,0.79722,0.1289,0.07388
2213.933,0.1283728346456693,0.7475,0.18075,0.07175
2214.117,0.12830039370078727,0.8155,0.12079,0.06371
2214.208,0.1282645669291338,0.82378,0.12403,0.05219
2241.8,0.1174015748031495,0.93991,0.03821,0.02188
2241.892,0.11736535433070872,0.85097,0.08955,0.05948
2241.983,0.11732952755905501,0.93714,0.03412,0.02874
2242.075,0.11729330708661423,0.94816,0.034,0.01784
2242.167,0.11725708661417322,0.96331,0.0215,0.01519
2242.258,0.11722125984251974,0.95855,0.02439,0.01707
2257.75,0.11112204724409447,0.94677,0.03829,0.01494
2257.842,0.11108582677165346,0.95409,0.02561,0.0203
2257.933,0.11104999999999998,0.94498,0.0368,0.01822
2258.025,0.11101377952755898,0.88195,0.08077,0.03728
2258.117,0.11097755905511808,0.83198,0.12004,0.04798
