z,zrel,A,log10A
462.092,0.8180740157480315,3.5666999999999995,0.5522665817735144
462.183,0.8180381889763779,4.3599,0.6394765282717415
462.275,0.818001968503937,4.7852,0.679900094062956
462.367,0.817965748031496,4.8111,0.6822443839233168
473.0,0.8137795275590551,5.487799999999999,0.7393982753519159
484.0,0.8094488188976378,4.7501,0.6767027525703496
495.0,0.8051181102362205,4.5097,0.6541476521488966
506.0,0.8007874015748031,4.4431,0.647686087933524
517.0,0.7964566929133858,4.5874,0.6615666102472754
528.0,0.7921259842519686,4.4006,0.6435118944234975
539.0,0.7877952755905512,4.0012,0.6021902601331894
561.0,0.7791338582677165,4.983099999999999,0.6974996026060197
561.092,0.7790976377952756,7.3165,0.864303376933002
561.183,0.779061811023622,5.3251,0.7263277677991147
577.5,0.7726377952755905,3.8903,0.5899830931819692
583.0,0.7704724409448819,5.3103,0.7251190567997832
594.0,0.7661417322834646,5.9963,0.7778833528429027
607.2,0.7609448818897637,6.611599999999999,0.8203065709962648
630.392,0.7518141732283464,4.510399999999999,0.654215058527527
630.758,0.7516700787401575,5.370399999999999,0.730006634176864
652.3,0.7431889763779528,6.9568,0.8424095180701817
652.483,0.7431169291338583,7.025199999999999,0.8466586926568297
652.575,0.7430807086614173,6.406,0.8065869343278029
652.758,0.7430086614173228,5.398799999999999,0.7322972392131916
674.3,0.7345275590551181,4.0144,0.6036206439705354
674.392,0.7344913385826771,7.692,0.8860392755664424
674.483,0.7344555118110236,8.0628,0.9064858871373598
674.575,0.7344192913385826,5.182,0.714497408649806
674.667,0.7343830708661417,5.685599999999999,0.754776302434371
674.758,0.7343472440944881,5.285999999999999,0.7231271587956914
717.75,0.7174212598425197,7.2392,0.8596905752051203
717.842,0.7173850393700787,7.732399999999999,0.8883143121567534
717.933,0.7173492125984252,5.6644,0.7531539141130239
718.025,0.7173129921259842,9.4172,0.9739217939488576
718.117,0.7172767716535433,5.5132,0.7414037474803374
718.208,0.7172409448818897,7.519599999999999,0.8761947392069243
739.75,0.708759842519685,7.4428,0.8717363489578276
739.842,0.7087236220472442,6.4068,0.8066411669055337
739.933,0.7086877952755906,5.3908,0.7316532196958958
740.025,0.7086515748031497,4.7584,0.6774609468418602
740.117,0.7086153543307087,11.221599999999999,1.050054783981691
740.208,0.7085795275590552,8.042,0.9053640687668922
755.7,0.7024803149606299,7.362,0.8669958131106479
755.792,0.7024440944881889,6.075999999999999,0.7836177651907487
755.883,0.7024082677165354,6.352,0.8029104894190399
755.975,0.7023720472440944,8.541599999999999,0.9315392297154519
756.067,0.7023358267716535,5.5508,0.7443555796177259
756.158,0.7022999999999999,6.6888,0.8253482104249101
783.75,0.6914370078740157,7.3336,0.8653172183420286
783.842,0.6914007874015748,9.2412,0.9657283694387306
783.933,0.6913649606299213,8.6744,0.9382394447654064
784.025,0.6913287401574804,5.0772,0.7056242713789195
784.117,0.6912925196850395,5.3868,0.7313308514492777
784.208,0.6912566929133859,5.0488,0.7031881671667192
822.25,0.6762795275590552,7.0892,0.8505972288095206
822.342,0.6762433070866142,6.2292,0.7944322749264741
822.433,0.6762074803149607,7.0276,0.8468070341641025
822.525,0.6761712598425197,6.127599999999999,0.7872904074955251
822.617,0.6761350393700787,8.458,0.9272676808108816
822.708,0.6760992125984252,9.4028,0.9732571986502568
849.75,0.6654527559055118,8.548,0.9318645134920318
849.842,0.6654165354330709,9.9076,0.9959684644762264
849.933,0.6653807086614174,8.5052,0.9296845305147404
850.025,0.6653444881889764,8.2432,0.9160958370076805
850.117,0.6653082677165354,5.898,0.7707047682157793
850.208,0.6652724409448819,8.287999999999998,0.9184497424011577
888.25,0.6502952755905511,5.3952,0.7320075486086295
888.342,0.6502590551181102,7.7908,0.8915820555861282
888.433,0.6502232283464566,6.81,0.8331471119127851
888.525,0.6501870078740157,6.644799999999999,0.8224819137658028
888.617,0.6501507874015748,6.1392,0.7881117818542411
888.708,0.6501149606299212,7.057999999999999,0.8486816540239503
921.25,0.6373031496062992,6.5956,0.8192543093344669
921.342,0.6372669291338583,5.7872,0.7624684914175446
921.433,0.6372311023622047,5.9692,0.7759161303142319
921.525,0.6371948818897638,4.7984,0.6810964484154519
921.617,0.6371586614173228,7.1504,0.8543303373162839
921.708,0.6371228346456693,5.8888,0.770026804723583
970.75,0.6178149606299213,7.924800000000001,0.8989883106383809
970.842,0.6177787401574804,6.5432,0.8157901951828039
970.933,0.6177429133858268,5.059999999999999,0.704150516839799
971.025,0.6177066929133859,4.7228,0.6741995545677026
971.117,0.617670472440945,6.3,0.7993405494535817
971.208,0.6176346456692914,6.9724,0.8433822942167354
997.7,0.6072047244094487,5.543999999999999,0.7438232216037503
997.792,0.6071685039370078,7.7252,0.8879097318214046
997.883,0.6071326771653542,5.722799999999999,0.7576085684814919
997.975,0.6070964566929133,4.468399999999999,0.6501520431403346
998.067,0.6070602362204724,5.761199999999999,0.7605129520167905
998.158,0.6070244094488189,4.402399999999999,0.6436894998031
1025.75,0.5961614173228347,9.6912,0.9863775563192265
1025.842,0.5961251968503937,7.5788,0.8796004464453933
1025.933,0.5960893700787402,5.346799999999999,0.7280939393797752
1026.025,0.5960531496062992,4.6028,0.6630221044217949
1026.117,0.5960169291338583,4.538,0.6568644915489172
1026.208,0.5959811023622047,5.0104,0.6998723986932514
1036.2,0.5920472440944882,7.752,0.8894137640427089
1036.292,0.5920110236220473,6.938,0.841234295506041
1036.383,0.5919751968503937,4.8756,0.6880280683740365
1036.475,0.5919389763779528,8.436,0.9261365710674487
1036.567,0.5919027559055119,7.7412,0.8888082879416745
1036.658,0.5918669291338583,5.9264,0.7727909606658215
1042.25,0.5896653543307087,4.9608,0.6955517183388943
1042.342,0.5896291338582677,4.9592,0.6954116233435171
1042.433,0.5895933070866142,4.8432,0.6851324036124977
1042.525,0.5895570866141733,5.0484,0.7031537580646212
1042.617,0.5895208661417324,6.861599999999999,0.8364253970695948
1042.708,0.5894850393700788,6.2384,0.7950732178439106
1047.75,0.5875,4.9068,0.6907983566019608
1047.842,0.587463779527559,7.132,0.853211334503317
1047.933,0.5874279527559055,10.3144,1.0134439696559459
1048.025,0.5873917322834645,7.4464,0.8719463616066359
1048.117,0.5873555118110236,7.8116,0.8927399967458254
1048.208,0.58731968503937,9.4704,0.9763683226277784
1069.75,0.5788385826771654,4.4252,0.645932903719387
1069.933,0.5787665354330709,5.446399999999999,0.7361095340684749
1070.025,0.5787303149606299,7.175999999999999,0.8558824300360356
1070.117,0.578694094488189,6.11,0.7860412102425542
